Date,Open,High,Low,Close,Adj Close,Volume
2023-07-17,198.350006,201.850006,196.600006,201.449997,195.980118,661956
2023-07-18,null,null,null,null,null,null
2023-07-19,198.199997,200.699997,196.500000,199.949997,194.520844,763276
2023-07-20,199.949997,202.649994,198.550003,198.949997,193.548004,587044
2023-07-21,198.949997,201.800003,196.250000,196.750000,191.407745,914207
2023-07-24,197.199997,201.550003,197.149994,198.399994,193.012924,1054257
2023-07-25,null,null,null,null,null,null
2023-07-26,196.550003,198.500000,195.699997,197.699997,192.331940,763991
2023-07-27,null,null,null,null,null,null
2023-07-28,199.000000,201.699997,197.550003,201.149994,195.688263,772866
